1	INTJ PREP DET NMP NMS AUX PROPN XFAMIL PREP NMS PREP PREP CHIF CHIF NFP PREP DETFS NFS	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
4745	ADV PINDMS VERB PREP NMS VERB COSUB PREFP <eps> VERB ADV COSUB PROPN XFAMIL AUX PREP NMS PREP PDEMFS NFS PREP NFS PPER3MS PPOBJMS VERB ADV PPER3MS DINTMS NMS DINTMS NMS DINTMS NMS PREP PROPN	alors on va d' abord voir si vous <eps> voulez bien si françois patriat est d' accord sur cette question de base il y a t il un problème du coût du travail en france	au revoir <eps> <eps> <eps> <eps> si vous le voulez bien si françois patriat est d' accord sur cette question de basse <eps> y a-t-il <eps> <eps> un problème du coût du travail en france	_
4746	PDEMMS AUX ADJMS COSUB PINDMS VERB DET NFS PREP VERB COSUB DET NMP	c' est vrai qu' on a l' habitude de dire que les socialistes	<eps> est vrai qu' on a l' habitude de dire que les socialistes	_
4747	AUX ADV PREP PDEMFS NFS COSUB PDEMMS AUX DINTMS NMS PREP NFS PREP PROPN ADV AUX ADV ADV DETMS NMS DINTMS NMS COCO ADV PREP DET NMS	sont plutôt sur cette idée que c' est un problème d' innovation en france c' est pas forcément le coût du travail et qu' à l' inverse	sont plutôt sur cette idée que c' est un problème d' innovation en france et <eps> pas forcément de coût du travail et qu' à l' inverse	_
4748	DINTMS NMS PREP DETFS NFS ADJFS PINDMS VERB ADV COSUB PPER3MS PPOBJMS VERB ADJMS COCO ADV DINTMS DINTMS NMS PREP NMS DINTMS NMS COSUB VERB PREP PPOBJMS PPOBJMS VERB PROPN DETMS NMS	du côté de la droite parlementaire on pense plutôt qu' il y a bel et bien un un problème de coût du travail comme vient de le le dire bruno le maire	du côté de la droite parlementaire on pense plutôt qu' il y a bel et bien un <eps> problème de coût du travail comme vient de le le dire bruno le maire	_
4749	VERB DETFS DETFS NFS ADV DET NMP ADJMP	réduire la la compétitivité uniquement aux coûts salariaux	réduire la <eps> compétitivité uniquement aux coûts salariaux	_
4750	PDEMMS ADV AUX ADV DETFS NFS	ça n' est pas la réalité	<eps> n' est pas la réalité	_
4751	DETFS PROPN VERB CHIF NMP ADV	la france a quatre déficits actuellement	<eps> france a kate déficit actuel	_
4752	PPER3FS VERB DINTMS NMS ADJMS ADJMS ADJMS	elle a un déficit public financier énorme	<eps> <eps> un déficit public financiers énormes	_
4753	CHIF CHIF CHIF CHIF NMP	mille mille sept cent milliards	mille six cents <eps> milliards	_
4754	PPER3FS VERB DINTMS NMS PREP NMS ADJMS PREL AUX VPPMS	elle a un déficit d' emploi chômage qui est élevé	la difficile <eps> <eps> d' emploi chômage qui est élevé	_
4755	PPER3FS VERB DINTMS NMS	elle a un déficit	<eps> <eps> un déficit	_
4756	PREP NFS	de compétitivité	<eps> compétitivité	_
4757	PPER3FS VERB DINTMS NMS PREP DETFS NFS PINDMS VERB PREP DINTFS NFS PREP DETFS NFS PUNCT <eps>	elle a un déficit de la demande on est dans une baisse de la demande aujourd'hui <eps>	elle a un déficit de la demande on est dans une baisse de la demande aujourd' hui	_
4758	ADV COSUB DET NFP VERB CHIF COCO CHIF NMP PREP NMS PREP PRON PREL PPER3FP VERB VERB	alors que les entreprises tournent trois ou quatre points en dessous de ce qu' elles devraient tourner	alors que les entreprises tournent trois ou quatre points en dessous de ce qu' elle devrait tourner	_
4759	ADV PREP DETFS NFS	alors sur la compétitivité	<eps> sur la compétitivité	_
4760	ADV PREFP VERB ADV COSUB	donc vous comprenez bien que	<eps> vous comprenez bien que	_
4761	PREP VERB PDEMMS PREP VERB PRON PREL PREFP VERB <eps> PREP DETMS NMS PREP DETFS NFS <eps> <eps> DETFS ADJFS DET NFP DETFS ADJFS DET NFP NMS AUX ADV ADV ADV <eps>	pour redire ce pour reprendre ce que vous avez <eps> sur le président de la république <eps> <eps> la première des choses la première des choses c' est quand même déjà <eps>	<eps> redire <eps> pour reprendre ce que vous avez dit sur le devant de la république le trois la première des choses la première des choses c' est quand même des gens	_
4762	PREP VERB DET NMP ADJMP	de rétablir les comptes publics	<eps> rétablir les comptes publics	_
4763	ADV PPER3MS AUX NFS PREP DET NFS PREP DETFS PROPN DETFS NFS PREP DET NFS ADJFS PREP DET NFS <eps>	s' il est question de l' autorité de la france la question de sa de sa de sa potentialité <eps>	si la <eps> question de l' autorité de la france la question de <eps> de ça ça peut se potentialités	_
4764	ADV DETMS NMS PINDMS PPOBJMS VERB ADV ADV COCO PDEMMS PPER3MS PPOBJMS VERB ADV ADV DINTFS NFS ADV DETMS NMS DINTMS NMS ADV PPER1S VERB ADV PPER1S <eps> PPOBJMS VERB PROPN DETMS NMS PREL AUX VPPMS ADV PREP NOUN DINTFS NFS DINTMS ADV ADJFS	ensuite le chômage on en parle pas maintenant mais ça il y a quand même une réduction ensuite le coût du travail alors j' entends bien je <eps> j' entends bruno le maire qui a proposé tout de suite une solution un peu idyllique	ensuite le chômage on ne parle pas maintenant mais ça il y a quand même une réduction ensuite le coût du travail alors j' entends bien j' ai j' entends bruno le maire qui a proposé tout de suite une solution un peu idyllique	_
4765	PREFP ADV VERB ADV ADV COSUB PDEMMS AUX DETFS NFS PREFP VERB PREFP VERB COSUB DETMS NMS PREP DETFS NFS PREP PROPN AUX PREP NMS COCO PREP ADV DINTMS NMS PREP NFS ADJFS	nous ne disons pas seulement que c' est la compétitivité nous d() nous disons que le problème de la compétitivité en france est d' abord et avant tout un problème de stratégie industrielle	nous ne disons pas seulement <eps> c' est la compétitivité nous dont nous disons que le problème de la compétitivité en france et d' abord et avant tout un problème de stratégie industrielle	_
4766	PDEMMS AUX ADJMS ADV PREP VERB ADV PREP PROPN DETMS NMS PREL PPOBJMS VERB ADV PREP NFS ADV COSUB	c' est différent alors pour répondre directement à bruno le maire que j' écoute toujours avec attention parce que	différents <eps> <eps> alors pour répondre directement <eps> bruno le maire <eps> j' écoute toujours avec attention parce que	_
4767	COSUB PPER1S ADV AUX ADV PREP NMS PREP PPOBJMS PREP ADV PREP NFS PPER1S VERB DETFS NFS PREP DET NMP	si je ne suis pas d' accord avec lui au moins j' écoute je connais la pertinence de ses raisonnements	si je ne suis pas d' accord avec lui au moins j' écoute qu' on la pertinence de ces résonne	_
4768	ADV VERB ADV <eps> <eps> VERB DETFS NFS ADJFS PUNCT PDEMMS AUX ADV ADV ADV PINDMS VERB VERB PINDMS VERB VERB PRON PREL ADV PPER3MS VERB <eps> AUX ADJMS ADJMP DET NMP	donc dire aujourd'hui <eps> <eps> baisser la dépense sociale oui c' est bien très bien on peut rêver on peut rêver qui que demain il aille <eps> faire beau tous les jours	donc dire aujourd' hui de baisser la dépense sociale oui c' est bien très bien <eps> peut rêver <eps> peut rêver qui que demain et là y faire beau tous les jours	_
4769	PPOBJFS PPER1S VERB COSUB VERB DETFS NFS ADJFS PREP DINTFS NFS	moi je pense que baisser la dépense sociale avec une société	<eps> je pense que baisser la dépense sociale avec une société	_
4770	PREL DET NFS PREP NFS VERB	dont l' espérance de vie augmente	dont l' espérance de vie augmente	_
4771	PREP DET NFP ADJFP	avec les technologies nouvelles	avec les technologies nouvelles	_
4772	PREP DET NFS PREP DETMS NMS PREP DET NFS PINDMS VERB ADV COSUB DETFS NFS ADJFS PREP ADV VPPFS PREP NMS	pour l' investigation pour le traitement pour l' opération on sait bien que la dépense sociale d' abord liée au chômage	<eps> l' investigation pour le traitement pour l' opération on sait bien que la dépense sociale d' abord lié au chômage	_
4773	PREP COSUB ADV PDEMMS AUX DETMS NMS PREL PREF VERB DETFS NFS VPPMS ADV PREP NMS PREL PPER1S VERB ADV DETFS NFS ADJFS PREP NMS	sauf que là c' est le chien qui se mord la queue lié aujourd'hui au déficit que j' évoquais plus la dépense maladie à côté	<eps> que là c' est là que lier aujourd' hui <eps> <eps> <eps> <eps> au difficile que j' évoquais plus la dépense maladie écoutez <eps>	_
4774	PDEMMS AUX DINTMS ADV ADJMS AUX ADV ADJMS ADJMS DETMS NMS VERB PPOBJMS AUX ADV VPPMS COCO PDEMMS ADV AUX ADV ADV <eps> <eps> <eps> ADV ADV AUX DETFS ADJFS NFS PPER1S VERB ADV PUNCT	c' est un peu c' est certes souhaitable tout le monde doit le faire bien entendu mais ça n' est pas là <eps> <eps> <eps> là qu' est la seule solution je pense pas aujourd'hui	c' est un peu c' est certes souhaitable tout le monde doit le faire bien entendu mais ça n' est pas la la qui est là qu' est la seule solution je pense par jour	_
4775	<eps> PPER1S VERB ADV PPOBJMS VERB NFS ADV ADV PREP ADV PREP NOUN PRON PREL VERB PROPN XFAMIL	<eps> je d' abord moi j' écoute aussi toujours avec beaucoup de respect ce que dit françois patriat	et je devant <eps> moi j' écoute aussi toujours et beaucoup de respect ce que dit françois patriat	_
4776	ADV PREP NMS ADV COSUB PPER1S VERB DINTMS NMS PREP PPOBJMS VERB AUX DETFS NFS DET ADJMP NMP PREP DET NFS PDEMMS VERB COCO <eps> NMS AUX ADV ADJMS PREP AUX <eps> ADV VPPMS COCO ADV ADV VPPMS PREP AUX DET PINDMS PREP DET ADJMS NMS PREP DET NFS	(n) d' abord parce que j' ai du respect pour lui c' est la solidarité des anciens ministres de l' agriculture ça compte et <eps> c' est très important pour avoir <eps> beaucoup souffert et aussi beaucoup appris en étant l' un comme l' autre ministre de l' agriculture	<eps> d' abord parce que j' ai du respect policia <eps> <eps> <eps> <eps> solidarité des anciens ministres de l' agriculture ça compte c' est c' est très important beaucoup souffert a beaucoup souffert et aussi beaucoup appris en étant <eps> <eps> comme le <eps> ministre de l' agriculture	_
4777	COCO PPER1S VERB COSUB PREP DETFS NFS ADJFS	mais je crois que sur la dépense sociale	mais je crois que sur la dépense sociale	_
4778	COSUB PRON AUX PREP DET NFS DINTMS NMS PPOBJMS AUX AUX VPPMS DET NFP PREP VERB DET NFS DINTMS NMS	que ce soit sur l' indemnisation du chômage moi j' ai fait des propositions pour réformer notre indemnisation du chômage	<eps> ce soit sur l' indemnisation du chômage moi j' ai fait des propositions pour réformer notre indemnisation du chômage	_
4779	PREP DET NFP ADJFP	sur les dépenses hospitalières	sur les dépenses hospitalières	_
4780	PREP DET NFP PREP NMP PINDMS VERB VERB DET NFP	sur les prescriptions de médicaments on peut faire des économies	<eps> les prescriptions de médicaments on peut faire des économies	_
4781	COCO PPER1S VERB COSUB PPER3MS <eps> VERB ADV VERB PDEMFS NFS	et je pense qu' il <eps> faut jamais sauter cette étape	et je pense qu' il ne faut jamais sauter cette étape	_
4782	PREP DETFS NFS PREP DETFS NFS	de la réduction de la dépense	<eps> la réduction de la dépense	_
4783	PINDMS VERB ADV NFS PREP PROPN PREP PREF VERB ADV DETFS ADJFS NFS ADJFS AUX VERB DET NFP	on a trop tendance en france à se dire (n) la bonne solution c' est augmenter les taxes	on a trop tendance en france à se dire ben la bonne solution ces <eps> augmenter les taxes	_
4784	PREP DET NMP PREP DET NFP ADJFP PREP DET NMP NMS AUX ADV ADJMS	sur les ménages sur les classes moyennes sur les retraités c' est trop facile	<eps> les ménages sur les classes moyennes sur les retraités c' est trop facile	_
4785	ADV PPOBJFS PPER1S VERB PREP DINTMS NMS ADV DINTMS ADV ADV ADJMS PREL VERB PREP VERB ADV ADV PINDMS VERB VERB DETFS NFS ADV PREP	donc moi je plaide pour un chemin effectivement un peu plus difficile qui consiste à dire regardons où on peut réduire la dépense ensuite sur	donc moi je plaide pour un chemin effectivement un peu plus difficile qui consiste à dire regardons où on peut réduire la dépense ensuite <eps>	_
4786	VERB DINTMS NMS COCO CHIF	donnez un exemple ou deux	<eps> un exemple ou deux	_
4787	INTJ DINTMS NMS ADJMS PREP DET NFS DINTMS NMS PPOBJFS PPER1S	oui un exemple concret sur l' indemnisation du chômage moi je	<eps> un exemple concret sur l' indemnisation du chômage <eps> <eps>	_
4788	VERB ADV COCO	plaisait pas mais	<eps> pas mais	_
4789	PREFP VERB ADV DINTMS NMS PREP PROPN PREP NFS DINTMS NMS PREL VERB PREP DET NFP PREP VERB PREP VERB CHIF NMP CHIF CHIF CHIF CHIF NMP PREP NMS PREP CHIF NMP ADV COSUB PROPN AUX DINTFS NFS	vous avez encore un système en france d' indemnisation du chômage qui permet à certaines personnes de continuer à toucher quatre mille quatre mille deux cents euros par mois sur deux ans même si c' est une minorité	vous avez encore un système en france d' indemnisation du chômage qui permet à certaines personnes de continuer à toucher quatre milles quatre mille deux cents euros par mois sur deux ans même si c' est une minorité	_
4790	PREP VERB DET ADJFP NFP COSUB PREP VERB VERB ADV PREP NMS ADJMS PPER1S VERB COSUB PINDMS VERB VERB DET NFP ADV ADV COCO ADV PPER3MS VERB ADV	sans avoir d' autres obligations que d' aller pointer régulièrement à pôle emploi je pense qu' on peut faire des économies là dessus mais qu' il vaut mieux	sans avoir d' autres obligations que d' aller pointer régulièrement <eps> pôle emploi je pense qu' on peut faire des économies là dessus et qu' il vaut mieux	_
4791	VERB DINTFS ADJFS NFS DET NMP ADV DINTFS NFS PREL AUX	avoir une meilleure formation des chômeurs qu' une indemnisation qui soit	<eps> une meilleure formation des chômeurs qu' une indemnisation qui soit	_
4792	ADV ADJFS PREP DET PDEMMS VERB AUX DINTFS NFS ADJFS PPER1S VERB COSUB PPER3FS VERB DET NMS PREP NMP	trop généreuse pour certains ça c' est une conviction personnelle je sais qu' elle fait l' objet de débats	généreux <eps> pour certains ça c' est une conviction personnelle je sais qu' elle fait l' objet de débats	_
4793	COCO PPER1S VERB COSUB PINDMS VERB PREF VERB DETFS NFS PREP DETFS NFS DET NMP ADV PRON PPER3MS PREFS VERB COSUB	mais je crois qu' on doit se poser la question sur la prescription des médicaments même chose il me semble que	mais je crois qu' on doit se poser la question sur la prescription des médicaments même chose il me semble que	_
4794	DINTMS NMS DET NMP PREP DINTMS NMS DET NMP PINDMS VERB VERB VERB DET NFP PREP DET NFP PREP NMP AUX PRON PREL PINDMS VERB ADV PREP VERB DINTMS NMS ADV ADJMS	du côté des médecins comme du côté des patients on doit pouvoir faire des économies sur les prescriptions de médicaments est ce qu' on pourrait pas pour donner un exemple très concret	<eps> côté des médecins comme du côté des patients on doit pouvoir faire des économies sur les prescriptions de médicaments je ne pourrais <eps> <eps> pas pour donner un exemple très concret	_
4795	VERB COSUB PREP PROPN ADV PINDMS VERB DETMS NMS PREP DETFS NFS ADV PREP NMS PREP VERB PREP DET NFS DETFS NFS ADJFS PDEMMS AUX DET ADJFP ADJFP NFP COCO PDEMMS AUX COSUB PDEMMS PREL PINDMS VERB ADV	faire comme en allemagne où on prescrit le médicament à la pilule près au lieu de donner à chaque fois la boîte entière c' est des toutes petites économies mais c' est comme ça qu' on arrivera aussi	<eps> comme en allemagne <eps> on prescrit le médicament à la pilule près au lieu de donner à chaque fois la boîte entière c' est <eps> toutes petites économies mais c' est comme ça qu' on arrivera aussi	_
4796	PREP VERB DET NFP ADJFP PREP DET NMS ADV PREP DETMS NMS COCO <eps> ADV PPER1S VERB COSUB PROPN XFAMIL AUX PREP NMS PREP PPOBJMP	à réduire les dépenses publiques à mon sens enfin sur le constat et <eps> là je crois que françois patriat sera d' accord avec moi	<eps> réduire la dépense publique à mon sens enfin sur le constat est de là je crois que françois patriat sera d' accord avec moi	_
4797	COCO DET NMS PREP DETFS NFS DET NFP YPFOR	et notre sujet de la compétitivité des entreprises (n)	<eps> notre sujet de la compétitivité des entreprises <eps>	_
4798	INTJ PPER3MS PPOBJMS VERB DINTMS NMS PREP NFS PREP DET NFS COSUB PREFP PPOBJMS VERB COSUB PPOBJMS VERB PROPN COCO PREP	oui il y a un problème de compétitivité sur l' innovation comme vous le disiez comme le disait françois mais sur	<eps> il y a un problème de compétitivité sur l' innovation comme vous le disiez comme le disait françois mais sur	_
4799	ADJFP DET NFP ADV PPER3MS PPOBJMS VERB ADV PREP NFS ADV PPER3MS PPOBJMS VERB DINTMS NMS VERB PREL AUX ADV ADJMS	toutes les activités où il y a peu d' innovation où il y a un savoir faire qui est assez limité	<eps> les activités où il y a peu d' innovation <eps> il y a un savoir-faire <eps> qui est assez limité	_
4800	ADV PPER3MS PPOBJMS VERB DET NFP PREL AUX ADV ADV DET ADV ADJMP PPER1S VERB PREP NMS PREP DETMS NMS ADJMS DETMS NMS	où il y a des technologies qui sont pas forcement les plus modernes je pense par exemple dans le secteur agricole le maraîchage	<eps> il y a les technologies qui sont pas forcément les plus moderne je pense par exemple dans le secteur agricole le maraîchage	_
4801	DETFS NFS DET NMP DETFS NFS PREP NMP ADV DETMS NMS DINTMS NMS AUX VPPMS DINTFS NFS DINTFS NFS ADJFS	la culture des fruits la culture de légumes là le coût du travail est devenu une activ() une actualité brûlante	<eps> culture des fruits la culture de légumes la le coût du travail est devenu une activité une actualité brûlante	_
4802	DINTMS NMS ADJMS COSUB PINDMS ADV VERB ADV DETMS NMS DINTMS NMS PREP DET NFP	un problème majeur si on ne réduit pas le coût du travail pour ces activités	un problème majeur si on <eps> réduit pas le coût du travail pour ses activités	_
4803	PREP PRELMP DETMS NMS DINTMS NMS VERB CHIF NMP PREP CHIF DINTMS NMS ADJMS DINTMS NMS COCO DET NOUN VERB VERB	dans lesquels le coût du travail représente cinquante soixante pour cent du coût final du produit mais les gens vont crever	dans lesquelles le coût du travail représente cinquante soixante pour cent du coût final du produit mais les gens vont crever	_
4804	NFS ADV VPPFS <eps> PREP DET NMP	activité très concurrencée <eps> par les allemands	activité très concurrencés évidemment par les allemands	_
4805	PREP DET NMP PREP DET NMP COCO ADV PREP DET NMP	par les italiens par les espagnols mais surtout par les allemands	<eps> les italiens paris espagnol <eps> mais surtout par les allemands	_
4806	ADV DETMS NMS DINTMS NMS AUX ADV ADV ADV ADJMS COSUB DETMS NMS ADV PREP ADJFP DET NFP ADV PPER3MS PPOBJMS VERB ADV PREP NFS ADV PREP VERB VERB	où le coût du travail est évidemment beaucoup plus faible que le nôtre donc pour toutes ces activités où il y a peu d' innovation peu de savoir faire	où le coût du travail est évidemment beaucoup plus faible que le nôtre donc pour toutes ces activités où il y a peu d' innovation on peut savoir faire	_
4807	COCO ADV DINTMS NMS ADJMS ADV PPER3MS VERB PPER3MS AUX ADV ADJMS PREP DET NMP PREP VERB DETMS NMS DINTMS NMS PREP COSUB PINDMS VERB DET NFP PREL PINDMS VERB DET NMP DET NMP PREP NMP DET NMP PREP NMP	mais simplement du travail manuel bien il fait il est très important à mes yeux de baisser le coût du travail pour qu' on garde nos activités qu' on garde nos maraîchers nos producteurs de fruits nos producteurs de légumes	mais simplement du travail manuel ben il fait les <eps> très important à mes yeux de baisser le coût du travail pour qu' on garde nos activités qu' on garde nos maraîchers de producteurs de fruits des producteurs de lait	_
4808	ADV ADV PPER1S VERB COSUB COSUB PINDMS VERB <eps> NFS PINDMS VERB VERB PREP VERB PREP DINTMS ADV DINTMS NMS PREP DET NFP ADJFP PREP VERB PRON AUX DET NMS	bien alors je pense que si on parle <eps> compétitivité on va essayer de sortir de du uniquement du débat sur les dépenses sociales pour dire quel est l' enjeu	<eps> alors je pense que si on parle de compétitivité on va essayer de sortir d' une uniquement du débat sur les dépenses sociales pour dire quelle est l' enjeu	_
4809	COCO ADV PINDMS VERB DINTMS NMS DINTMS NMS YPFOR	et là on parle du coût du travail (n)	<eps> là on parle du nain de jardin <eps>	_
4810	<eps> <eps> ADV PINDMS VERB VERB PREP NMS PDEMMP <eps> <eps> PREL PINDMS PREFP VERB <eps> ADV PREP NMS DET NMP	<eps> <eps> alors on va prendre par exemple ceux <eps> <eps> qu' on nous cite <eps> toujours en exemple les allemands	un travail alors on va prendre par exemple ou est ce qu' on ne le suis toujours en exemple isolé <eps>	_
4811	DET PROPN CHIF CHIF NMP PREP NMP <eps> NMS ADJMS DETFS PROPN CHIF CHIF NMP PREP NMS ADV <eps> <eps> PINDMS VERB COCO ADJMS AUX	les allemands cent cinquante milliards d' excédents <eps> excédent commercial la france soixante dix milliards de déficit alors <eps> <eps> on dit mais c' est	allemand <eps> cent cinquante milliards d' excédant un excédent commercial la france soixante dix milliards de déficit en et l' on dit mme ici <eps>	_
4812	DETFS NFS PREP NMS ADV ADV DETFS NFS PREP NMS ADV PPER3MP VERB DETMS ADJMS NMS PREP NMS ADJMS ADV COSUB PPER3MS PPOBJMS VERB DINTMS NMS PRON PREL PINDMS VERB PREP PROPN	la différence de salaire (n) non la différence de salaire non ils ont le même salaire hors agro alimentaire parce que il y a un problème ce qu' on évoquait en france	<eps> différence de salaire et maintenant le différences de salaires non ils ont le même salaire hors agro-alimentaire <eps> parce que il y a un problème serait évoqué <eps> <eps> en france	_
4813	AUX PRON PREL DET NMP VERB ADV COSUB PREFP ADV PPER3MP VERB CHIF CHIF NFP CHIF ADV CHIF CHIF NFP	est ce que les allemands travaillent plus que nous non ils travaillent trente cinq heures cinq autrement trente huit heures	<eps> ce que les allemands travaillent plus que nous non il travaille trente cinq heures cinq autrement trente huit heures	_
4814	PREFP VERB PDEMMS AUX DETMS NMS ADJMS PREL VERB DETFS NFS PREP DETFS NFS ADV COSUB PREP PROPN ADV AUX PRON PREL PPER3MP VERB	vous voyez c' est le produit final qui fait la différence de la compétitivité parce qu' en allemagne qu' est ce qu' ils font	vous voyez ce <eps> <eps> produit final qui fait la différence de la compétitivité parce qu' en allemagne qu' est ce qu' ils font	_
4815	PPER3MP VERB PREP DET NMP ADJMP PREP DETMS NMS ADJMS PREP NFS PREP DETMS NMS VPPMS PPER1S VERB CHIF NMP	ils vont sur les produits nobles sur le produit haut de gamme sur le produit fini je prends deux exemples	ils vont sur les produits nobles sur le produit haut de gamme sur le produit fini je prends deux exemples	_
4816	DET NMS DETFS NFS PREP NMS	l' automobile la machine à outil	<eps> automobile la machine-outil <eps> <eps>	_
4817	VERB PRON PREL PREFP PREP PROPN	est ce que nous en france	<eps> ce que nous en france	_
4818	PREFP PREP PROPN PINDMS AUX ADJMS ADV <eps> PREP VERB PREP DET NMP ADV PREP NFS	nous en france on est capable aujourd'hui <eps> d' aller sur ces produits haut de gamme	nous en france on est capable aujourd' hui d' aller sur ces produits <eps> <eps> <eps>	_
4819	AUX PRON PREL PINDMS PPOBJMS AUX ADJMS	est ce qu' on en est capable	<eps> ce qu' on en est capable	_
4820	PREP NMS PPOBJFS PPER1S VERB COSUB PINDMS PPOBJMS AUX ADV PREP NMS ADJMS	d' abord moi je crois qu' on en est tout à fait capable	<eps> abord bon je crois qu' on en est tout à fait capable	_
4821	PPER1S VERB ADV COSUB PRON PREL VERB PREP VERB PROPN XFAMIL XFAMIL AUX DETFS NFS	je crois aussi que ce qu' oublie de mentionner françois patriat c' est la tendance	je crois aussi que ce qu' oublie de pensionnés françois patriat c' est la tendance	_
4822	PROPN PPER3MS PPOBJMS VERB CHIF NMP PREFP VERB DINTMS NMS PREP NMS DET NMP PREP DETMS NMS DINTMS NMS	(h) il y a dix ans nous avions un avantage par rapport aux allemands sur le coût du travail	<eps> il y a dix ans nous avions un avantage par rapport aux allemands sur le coût du travail	_
4823	PINDMS AUX ADV ADJMS COSUB PPOBJMP	on était bien meilleur qu' eux	on était bien meilleur que <eps>	_
4824	PINDMS VERB DINTMS NMS DINTMS NMS PREL AUX ADJMS PREP CHIF PREP CHIF ADV PREP NMS DINTMS NMS ADJMS PUNCT <eps> PINDMS AUX ADV PREP ADJMS NMS	on avait un coût du travail qui était inférieur de quinze pour cent environ au coût du travail allemand aujourd'hui <eps> on est quasiment au même niveau	on avait un coût du travail qui était inférieur de quinze pour cent environ au coût du travail allemand aujourd' hui on est quasiment au même niveau	_
4825	ADV PREP DET NFP ADV PREP DET NFS ADV PINDMS AUX VERB DINTMS NMS	sauf dans les activités effectivement comme l' agroalimentaire où on a pris du retard	sauf dans les activités effectivement comme l' agroalimentaire <eps> on a pris du retard	_
4826	COCO COSUB PINDMS VERB PREP PDEMMS ADV PREP CHIF NMP PINDMS AUX ADV VPPMS ADV PPER1S VERB COSUB PDEMMS NMS PREP NFS PREP DETMS NMS DINTMS NMS AUX ADJMS	et si on continue comme ça (n) dans dix ans on sera totalement dépassé donc je crois que ce choc de compétitivité sur le coût du travail est nécessaire	et si on continue comme ça mais on en disant on saura totalement dépassés donc je crois que ce choc de compétitivité sur le coût du travail est nécessaire	_
4827	ADV ADV PPER1S VERB ADV PROPN XFAMIL XFAMIL VERB COSUB PPER3MS VERB DINTFS NFS PREP ADJMS NMS PREP DETFS NFS	là où je rejoins entièrement françois patriat c' est que il faut une stratégie de long terme sur la compétitivité	là où je rejoins entièrement françois patriat c' est que il faut une stratégie de long terme sur la compétitivité	_
4828	COCO DETFS NFS PREP ADJMS NMS PREP DETFS PROPN PPER3MS PPOBJMS VERB DETFS NFS DINTMS NMS DINTMS NMS PREP PPOBJMS PDEMMS AUX DINTMS NMS ADJMS	et la stratégie de long terme pour la france il y a la réduction du coût du travail pour moi c' est un préalable absolu	est la stratégie de long terme pour la france il y a la réduction du coût du travail pour moi c' est un préalable absolu	_
4829	COCO PPER3MS PPOBJMS VERB ADV	mais il y a ensuite	mais il y a ensuite	_
4830	PREF VERB PREP DET NMP NMS PREP NFS PREP PREP DETFS NFS PREP PREP DET NFS PREP DETFS NFS PROPN DETMS NMS PROPN	se mettre sur les produits haut de gamme avec de la qualité avec de l' innovation avec la marque france le label france	<eps> mettre sur les produits haut-de-gamme <eps> <eps> avec de la qualité <eps> de <eps> innovation avec un marque france le label france	_
4831	COCO COCO PPOBJFS PPER1S VERB VERB PREP DET NMS PPER3MS PPOBJMS VERB ADJFP DET NFP PREL PPER3MS VERB PREP PROPN PREP PPOBJMS VERB ADV PINDMS PREF VERB DETMS NMS ADJMS VERB DINTFS NFS PREP PROPN	et et moi je veux dire à quel point il y a toutes les ressources qu' il faut en france pour y arriver lorsqu' on se donne le mal nécessaire regardez une marque comme citroën	et et moi je veux dire à quel point il y a toutes les ressources qu' il faut en france pour y arriver lorsqu' on se donne le mal nécessaire regardez une marque comme citroën	_
4832	PINDMS VERB PDEMMS AUX DINTFS NFS ADJFS <eps> DINTMS ADV VPPFS PPER3MP VERB DET NFP ADV ADJFS DETFS NFS DETFS PUNCT	on disait c' est une marque vieillissante <eps> un peu datée ils font des voitures maintenant formidable la ds3 la ds4	on disait c' est une marque vieillissant d' un peu daté ils font des voitures maintenant formidable destroyer dsk <eps> <eps>	_
4833	PREL VERB PREP ADV PREP ADV PREP NMS VERB PREP DETMS NMS ADJMS PRON PREL AUX AUX ADJMS PREP VERB PREP DETMS NMS ADJMS	qui séduisent de plus en plus de monde regardez dans le monde agricole ce qui a été possible de faire dans le domaine viticole	qui séduisent de plus en plus de monde regarder dans le monde agricole ce qui était <eps> possible de faire dans le domaine viticole	_
4834	PPER3MP AUX VPPMS PREP VERB PREP NFS VERB DET NMP DINTMS PROPN XFAMIL	ils ont réussi à monter en gamme regardez les vins du languedoc roussillon	ils ont réussi à monter en gamme regardez les vins du languedoc roussillon	_
4835	PPER3MP AUX VPPMP PREP NFS PPER3MP AUX VERB DINTFS NFS DINTMS NMS ADJMS PDEMMS VERB ADV ADV VERB ADV <eps> <eps> COSUB ADV ADV ADJMS COSUB DETMS PROPN COCO PPER1S VERB <eps> VERB DETFS PROPN ADV VERB ADV COSUB PINDMS VERB PDEMMS NMS ADV PINDMS VERB PPOBJMS VERB	ils sont montés en gamme ils ont acquis une qualité un label formidable ça marche donc ne désespérons pas <eps> <eps> si presque aussi bon que le bourgogne mais je vais <eps> insulter la bourgogne là dessus simplement si on fait ce choix là on va y arriver	<eps> sont montés en gamme ils ont acquis une qualité un label formidable ça marche donc ne désespère on parle bourgogne si presque aussi bon <eps> <eps> bourgogne mais je veux pas insulter la bourgogne là dessus simplement science <eps> fait ce choix là on va y arriver	_
